timestamp,open,high,low,close,volume,trade_count,vwap
2016-01-04 05:00:00+00:00,102.61,105.368,102.0,105.35,67611658,351450,104.048524
2016-01-05 05:00:00+00:00,105.75,105.85,102.41,102.71,55787192,321363,103.415766
2016-01-06 05:00:00+00:00,100.48,102.37,99.87,100.7,68340388,409162,100.852488
2016-01-07 05:00:00+00:00,98.63,100.13,96.43,96.45,81094357,462834,98.069324
2016-01-08 05:00:00+00:00,98.55,99.11,96.76,96.96,70797966,419804,97.923007
2016-01-11 05:00:00+00:00,98.97,99.06,97.34,98.53,49725577,292281,98.138764
2016-01-12 05:00:00+00:00,100.55,100.69,98.8399,99.96,49154227,282809,99.752424
2016-01-13 05:00:00+00:00,100.32,101.19,97.3,97.39,62439631,362015,99.347087
2016-01-14 05:00:00+00:00,97.96,100.48,95.74,99.52,63170127,362780,98.303104
2016-01-15 05:00:00+00:00,96.2,97.71,95.36,97.13,79813891,447030,96.722462
2016-01-19 05:00:00+00:00,98.41,98.65,95.5,96.66,53087747,291403,96.881894
2016-01-20 05:00:00+00:00,95.1,98.1897,93.42,96.79,72334416,431729,95.220869
2016-01-21 05:00:00+00:00,97.06,97.88,94.94,96.3,52139358,301287,96.644299
2016-01-22 05:00:00+00:00,98.63,101.46,98.37,101.42,65800467,375468,100.047743
2016-01-25 05:00:00+00:00,101.52,101.53,99.21,99.44,51758287,281832,100.407199
2016-01-26 05:00:00+00:00,99.93,100.88,98.07,99.99,75077002,402738,99.720065
2016-01-27 05:00:00+00:00,96.04,96.6289,93.34,93.42,133369674,683976,94.885945
2016-01-28 05:00:00+00:00,93.79,94.52,92.39,94.09,55678673,338197,93.625729
2016-01-29 05:00:00+00:00,94.79,97.34,94.35,97.34,64416504,330860,96.270569
2016-02-01 05:00:00+00:00,96.47,96.71,95.4,96.43,40942818,236716,96.226961
2016-02-02 05:00:00+00:00,95.42,96.04,94.28,94.48,36648645,232921,95.074996
2016-02-03 05:00:00+00:00,95.0,96.84,94.08,96.35,45946344,297821,95.342788
2016-02-04 05:00:00+00:00,95.86,97.33,95.19,96.6,46471652,265044,96.31054
2016-02-05 05:00:00+00:00,96.52,96.92,93.69,94.02,46418064,288658,94.91507
2016-02-08 05:00:00+00:00,93.24,95.7,93.04,95.01,54020975,353979,94.214724
2016-02-09 05:00:00+00:00,94.29,95.94,93.93,94.99,44331195,273869,94.863568
2016-02-10 05:00:00+00:00,95.92,96.35,94.1,94.27,42343601,265623,95.266254
