Date,Open,High,Low,Close,Adj Close,Volume
2019-06-03 00:00:00-04:00,303.010009765625,308.3800048828125,303.010009765625,306.94000244140625,293.22320556640625,746500
2019-06-04 00:00:00-04:00,307.8699951171875,313.75,307.760009765625,312.2699890136719,298.3149719238281,796700
2019-06-05 00:00:00-04:00,313.8999938964844,316.989990234375,312.5400085449219,316.7699890136719,302.6138916015625,703000
2019-06-06 00:00:00-04:00,316.7799987792969,317.32000732421875,314.3800048828125,314.82000732421875,300.7510681152344,595000
2019-06-07 00:00:00-04:00,315.8900146484375,319.3699951171875,314.32000732421875,318.2900085449219,304.0660095214844,1010000
2019-06-10 00:00:00-04:00,323.0,323.7300109863281,310.2099914550781,311.30999755859375,297.39794921875,1088700
2019-06-11 00:00:00-04:00,311.30999755859375,312.80999755859375,298.2300109863281,300.7300109863281,287.2907409667969,1603500
2019-06-12 00:00:00-04:00,301.20001220703125,305.2799987792969,299.9599914550781,304.8500061035156,291.2265625,771500
2019-06-13 00:00:00-04:00,306.2200012207031,308.25,300.44000244140625,307.6300048828125,293.88232421875,1327600
2019-06-14 00:00:00-04:00,308.45001220703125,310.4800109863281,306.5899963378906,309.42999267578125,295.6018981933594,768200
2019-06-17 00:00:00-04:00,310.8500061035156,310.8500061035156,307.0899963378906,309.4700012207031,295.64013671875,572500
2019-06-18 00:00:00-04:00,310.6199951171875,315.4599914550781,309.4800109863281,313.19000244140625,299.1938781738281,679000
2019-06-19 00:00:00-04:00,313.239990234375,315.5899963378906,312.05999755859375,315.19000244140625,301.1045227050781,698700
2019-06-20 00:00:00-04:00,317.739990234375,324.3500061035156,317.739990234375,323.82000732421875,309.3488464355469,1195700
2019-06-21 00:00:00-04:00,324.8900146484375,324.92999267578125,320.7300109863281,322.1600036621094,307.7630310058594,1096600
2019-06-24 00:00:00-04:00,322.82000732421875,324.5199890136719,321.3599853515625,321.4800109863281,307.1134948730469,359200
2019-06-25 00:00:00-04:00,322.2099914550781,323.44000244140625,319.5,321.1499938964844,306.7981262207031,559200
2019-06-26 00:00:00-04:00,321.260009765625,322.739990234375,318.05999755859375,318.70001220703125,304.4576416015625,590500
2019-06-27 00:00:00-04:00,319.1300048828125,319.70001220703125,316.260009765625,318.2799987792969,304.0564270019531,640900
2019-06-28 00:00:00-04:00,318.2300109863281,323.92999267578125,316.45001220703125,323.1099853515625,308.6705017089844,842800
2019-07-01 00:00:00-04:00,325.0,325.0,317.8800048828125,318.5400085449219,304.3047790527344,745600
2019-07-02 00:00:00-04:00,319.8299865722656,323.989990234375,319.2099914550781,323.69000244140625,309.2246398925781,547500
2019-07-03 00:00:00-04:00,325.0,325.5799865722656,322.7200012207031,325.25,310.7149658203125,352000
2019-07-05 00:00:00-04:00,324.5299987792969,325.260009765625,320.80999755859375,325.20001220703125,310.66717529296875,325600
2019-07-08 00:00:00-04:00,324.0299987792969,325.8699951171875,322.5,323.989990234375,309.51123046875,377100
2019-07-09 00:00:00-04:00,323.260009765625,325.95001220703125,321.1000061035156,325.80999755859375,311.24993896484375,481600
