tickerName,modelName,RMSE,sharpeRatio,expectedValue
ABC,BiDirectional LSTM,2.9913420608007817,0.4151249,190.9647
ABC,LSTM,6.1383198948949795,0.4905164,187.25221
ABC,RNN,2.604155995446683,0.27976218,191.70714
ABC,ANN,4.367401151227011,0.7306015,189.54338
ABC,CNN,8.421075097309991,0.16352354,172.0316
ABC,Random Forrest,1.6814549019980842,0.15940556065386077,None
ABC,Attention-based LSTM,6.740173683677783,0.11714826975272118,179.28098
AAPL,BiDirectional LSTM,3.1748127001662922,0.40887925,192.35353
AAPL,LSTM,3.434627405706993,0.31682733,188.9173
AAPL,RNN,2.3869269538544273,0.21143647,192.8362
AAPL,ANN,2.6397933439928383,0.5407092,191.44669
AAPL,CNN,10.151700754934721,0.21428752,174.2746
AAPL,Random Forrest,1.8249441975930265,0.22603889717060208,None
AAPL,Attention-based LSTM,6.550319720132766,0.09425952144725859,186.23914
AAL,BiDirectional LSTM,0.3537591483257282,0.16191739,17.95345
AAL,LSTM,0.4897653147232182,0.23278426,17.223425
AAL,RNN,0.37413572221902397,0.035471275,18.074562
AAL,ANN,0.3965120859210424,0.22443359,17.981144
AAL,CNN,1.1937279790004516,0.16255188,16.993704
AAL,Random Forrest,0.11992541589724175,0.1865286114198824,None
AAL,Attention-based LSTM,0.9662318981772264,0.07182732419384058,16.819324
ABNB,BiDirectional LSTM,3.1977655815573307,0.21586241,132.26358
ABNB,LSTM,4.472312315478818,0.115925476,125.53773
ABNB,RNN,3.803290329704801,0.046061173,132.61081
ABNB,ANN,4.608289405053827,0.14013602,128.61084
ABNB,CNN,25.955519447513442,0.2054322,105.90608
ABNB,Random Forrest,33.17718941453212,0.1409731489576905,None
ABNB,Attention-based LSTM,7.96293344197252,0.05186172025596986,125.74948
ABG,BiDirectional LSTM,5.741256933388297,0.14546187,240.30342
ABG,LSTM,6.8444482317033195,0.11911798,235.99767
ABG,RNN,6.698716811437404,0.019782579,238.06267
ABG,ANN,6.345474918307701,0.17090927,239.45204
ABG,CNN,13.973192581144689,0.21448149,216.22678
ABG,Random Forrest,5.871143101334208,0.22158484657902766,None
ABG,Attention-based LSTM,17.85323070656294,0.11022722843141114,220.29526
ACLS,BiDirectional LSTM,5.878272433520792,0.1996583,182.93935
ACLS,LSTM,10.072088502795525,0.23697029,176.0315
ACLS,RNN,4.826043829392866,0.13053805,179.59683
ACLS,ANN,5.838525564034677,0.22301732,183.34666
ACLS,CNN,7.12520783347116,0.34167263,160.37914
ACLS,Random Forrest,4.117843993200664,0.3150449593564597,None
ACLS,Attention-based LSTM,23.407995743774123,0.2535760849506272,164.2094
ACN,BiDirectional LSTM,6.447758225047564,0.25111172,309.12335
ACN,LSTM,7.277279967089231,0.25328022,306.5296
ACN,RNN,6.520856800899784,0.06770076,309.59415
ACN,ANN,8.429505059694458,0.2990408,304.9429
ACN,CNN,14.274302646400105,0.14498009,292.08594
ACN,Random Forrest,30.007654159400236,0.13704978993973915,None
ACN,Attention-based LSTM,13.977744435846907,0.040356748506813894,306.84653
ADI,BiDirectional LSTM,4.278506131981562,0.035994366,192.95451
ADI,LSTM,5.896107944606096,0.03473737,190.32281
ADI,RNN,3.292513122219174,0.049603466,194.32985
ADI,ANN,4.329594699469109,0.03543279,193.79175
ADI,CNN,19.764329292965613,0.13546184,161.69269
ADI,Random Forrest,4.103775748575189,0.12675968331063703,None
ADI,Attention-based LSTM,8.218096226292106,0.1071096828466166,187.92528
ADBE,BiDirectional LSTM,9.45817464665967,0.24521717,484.62616
ADBE,LSTM,15.552513444315872,0.3875699,479.07974
ADBE,RNN,9.37374525960482,0.14554898,483.99445
ADBE,ANN,11.965607172876798,0.32602,484.31656
ADBE,CNN,44.34802877069994,0.17080936,437.84647
ADBE,Random Forrest,21.230384213575665,0.15854853121469506,None
ADBE,Attention-based LSTM,20.208857710024883,0.11725516545658363,492.3222
ADP,BiDirectional LSTM,3.000307365381292,0.014828999,217.8479
ADP,LSTM,3.129075074527477,0.0138870515,217.8616
ADP,RNN,2.5252987790351606,-0.024179492,218.95633
ADP,ANN,3.23432464546461,0.004883111,217.08682
ADP,CNN,9.85858628748651,0.14731956,207.6999
ADP,Random Forrest,4.733822730866983,0.1256731321213023,None
ADP,Attention-based LSTM,8.420963819389087,-0.020682859784642262,218.0759
AJG,BiDirectional LSTM,2.2777397031011657,0.37293223,216.74315
AJG,LSTM,5.522187608563995,0.3450409,212.91109
AJG,RNN,2.624708320410082,0.13748823,217.49063
AJG,ANN,3.0075675054583995,0.47855783,214.47528
AJG,CNN,6.011186177138623,0.19689852,211.1822
AJG,Random Forrest,2.1057484386640044,0.19058525745339608,None
AJG,Attention-based LSTM,9.345739465780879,0.10800922291735904,207.8614
ADSK,BiDirectional LSTM,4.425219545358133,0.01348145,203.16127
ADSK,LSTM,3.8619329595179113,0.038586773,204.96994
ADSK,RNN,5.433865090119485,-0.0363503,203.34114
ADSK,ANN,4.457084084239166,0.023461716,204.42018
ADSK,CNN,18.629345016940135,0.14596395,190.85823
ADSK,Random Forrest,9.624120181000874,0.14536901396891075,None
ADSK,Attention-based LSTM,8.9962011560521,0.0018521827955765573,207.4929
ALB,BiDirectional LSTM,10.780176512862623,0.017235352,228.46112
ALB,LSTM,10.17761347219826,0.04630063,223.98038
ALB,RNN,9.776000881088011,-0.057768516,231.12634
ALB,ANN,10.77232999349088,0.02324697,222.8008
ALB,CNN,17.036455764139458,0.32029963,205.82721
ALB,Random Forrest,12.820581479682804,0.3030275309103712,None
ALB,Attention-based LSTM,16.390128635214836,-0.03123681293288145,223.76845
ALG,BiDirectional LSTM,3.3440699818847284,0.035671607,184.62074
ALG,LSTM,5.58002895288135,0.04908396,181.6471
ALG,RNN,3.7826005424870046,0.06774426,184.83003
ALG,ANN,3.484173618034062,0.0427027,184.10164
ALG,CNN,9.057653773317021,0.1072699,171.7413
ALG,Random Forrest,2.4507681804674184,0.1195367958800559,None
ALG,Attention-based LSTM,7.331349691673062,0.06500184116296372,183.36919
ALGN,BiDirectional LSTM,8.440816065834062,0.07358663,346.88205
ALGN,LSTM,10.932510068488739,0.065343425,344.43384
ALGN,RNN,10.134456212958678,0.019906936,343.14746
ALGN,ANN,12.179399994208119,0.08410458,344.3168
ALGN,CNN,42.461376642420184,0.25991416,307.21832
ALGN,Random Forrest,36.824571295036456,0.2613469938990118,None
ALGN,Attention-based LSTM,20.591780760358674,0.09125949206062547,330.95944
ALNY,BiDirectional LSTM,4.0564411237173355,0.012372428,190.68227
ALNY,LSTM,4.985840364910475,0.024665663,191.69179
ALNY,RNN,4.611806873579507,-0.053390224,189.84895
ALNY,ANN,4.437445932807328,0.015207759,190.57744
ALNY,CNN,13.031088433488758,0.1834924,177.09819
ALNY,Random Forrest,4.027114343607574,0.18073182989048311,None
ALNY,Attention-based LSTM,14.452894331504961,-0.002272855425731758,194.88795
ALX,BiDirectional LSTM,4.596871556897006,-0.045897257,182.18633
ALX,LSTM,10.719491077473698,-0.09093105,179.6276
ALX,RNN,4.361393602533566,-0.20001803,183.87735
ALX,ANN,7.352161924668876,-0.069489285,182.59381
ALX,CNN,18.81377144478384,0.0738548,163.63902
ALX,Random Forrest,18.93911819644908,0.1165069316726777,None
ALX,Attention-based LSTM,28.046352449643436,-0.07323661572896976,173.2063
AMD,BiDirectional LSTM,3.9558230442609323,0.106024764,115.937454
AMD,LSTM,3.9547207462296754,0.11692098,111.10639
AMD,RNN,4.001266415194172,0.11532268,114.71415
AMD,ANN,4.089498558620763,0.11430916,113.44073
AMD,CNN,5.027371274874147,0.244757,107.969376
AMD,Random Forrest,4.9606996587340335,0.2375085440312158,None
AMD,Attention-based LSTM,6.3563856191122765,0.1301586271181441,114.08176
AMGN,BiDirectional LSTM,3.215370706175419,-0.06599179,224.93489
AMGN,LSTM,3.3261288362598798,-0.057283472,221.75676
AMGN,RNN,2.861703515831141,-0.07880688,225.13425
AMGN,ANN,3.14736651699351,-0.08411324,224.27536
AMGN,CNN,22.74060462721318,0.058704875,198.05338
AMGN,Random Forrest,4.969401611545122,0.06040439331208447,None
AMGN,Attention-based LSTM,8.179413773869591,-0.080383264722164,224.07877
AMP,BiDirectional LSTM,6.196288174063593,0.1549336,332.82397
AMP,LSTM,7.761772024006486,0.13458966,325.86298
AMP,RNN,6.790691543500804,-0.025300762,334.77405
AMP,ANN,6.588968390489056,0.24621713,330.85416
AMP,CNN,17.370195157513074,0.2167354,302.32892
AMP,Random Forrest,11.384000531159325,0.2089347080021913,None
AMP,Attention-based LSTM,25.94583580679544,0.04972041909331449,310.48407
AMT,BiDirectional LSTM,4.177021120257526,-0.02639528,194.16936
AMT,LSTM,6.227917223458867,-0.0536852,192.52945
AMT,RNN,4.214424595705103,-0.10085994,194.89847
AMT,ANN,4.235402798316573,-0.059180323,194.88615
AMT,CNN,19.12710810125314,0.08673954,170.4683
AMT,Random Forrest,7.876698448213882,0.07709530588363515,None
AMT,Attention-based LSTM,8.184112604394741,0.0036227608629459474,189.94319
AMZN,BiDirectional LSTM,2.1470561873579803,0.28388858,129.58371
AMZN,LSTM,2.3884862353941596,0.32608235,130.03311
AMZN,RNN,2.2949689263618587,0.17994168,130.13583
AMZN,ANN,2.2498583464688373,0.40075484,129.58421
AMZN,CNN,12.130656315411255,0.1718655,117.99724
AMZN,Random Forrest,1.6357648874309008,0.16615683159236924,None
AMZN,Attention-based LSTM,7.46786672992985,0.04053103313532393,128.85341
AON,BiDirectional LSTM,8.838775739013728,0.20364134,338.57224
AON,LSTM,7.345370558768808,0.21527368,336.3956
AON,RNN,4.404286865142645,0.076819606,340.22623
AON,ANN,4.4943169360685085,0.25807685,342.37775
AON,CNN,21.68846389505217,0.13705929,302.25735
AON,Random Forrest,7.101055740002097,0.1321451308982368,None
AON,Attention-based LSTM,15.723541722852438,0.11079890499102976,329.44446
ANSS,BiDirectional LSTM,4.821524635658371,0.06087963,325.17053
ANSS,LSTM,5.872236823928067,0.045149796,320.43155
ANSS,RNN,5.356057264878728,0.12553824,326.70462
ANSS,ANN,7.835192647043288,0.06968878,326.94937
ANSS,CNN,16.19971787414724,0.13554445,312.86923
ANSS,Random Forrest,7.090607249898016,0.12323939064088793,None
ANSS,Attention-based LSTM,11.371917343652942,0.12855348742298509,327.31458
APD,BiDirectional LSTM,4.390281100040376,0.09527602,297.4551
APD,LSTM,4.340493027410192,0.10651136,295.44653
APD,RNN,4.2541579587127485,0.040999085,296.5112
APD,ANN,4.168884823941681,0.09883284,297.1816
APD,CNN,22.933569907957775,0.07788307,260.93756
APD,Random Forrest,8.926093546632908,0.07768765915056897,None
APD,Attention-based LSTM,12.454881833812466,0.07195009216973063,290.44147
ARGX,BiDirectional LSTM,9.218310859211984,0.10368093,383.7528
ARGX,LSTM,9.727071143654783,0.08609186,389.91577
ARGX,RNN,6.513152994742769,0.024951886,384.3506
ARGX,ANN,6.946924748569353,0.11953934,384.54404
ARGX,CNN,23.231766681614403,0.21711826,365.3642
ARGX,Random Forrest,8.162252688630256,0.23112785551051543,None
ARGX,Attention-based LSTM,11.755053300814373,0.013861440544347917,395.78836
APPF,BiDirectional LSTM,4.130515812225008,0.24713585,172.65714
APPF,LSTM,4.217810658916904,0.27356768,170.13544
APPF,RNN,3.949948530492018,0.16268377,170.9487
APPF,ANN,4.170304124083292,0.26943967,171.01715
APPF,CNN,15.298732695277286,0.123090684,149.19057
APPF,Random Forrest,3.610295103809693,0.12134399949824012,None
APPF,Attention-based LSTM,7.67985459464596,0.12251595595680055,168.31549
ARKK,BiDirectional LSTM,0.868237399428611,0.12250532,44.76212
ARKK,LSTM,1.454594094780693,0.15488462,43.9342
ARKK,RNN,1.118426625050322,0.02746104,45.040504
ARKK,ANN,1.5154535581570565,0.19482629,44.75416
ARKK,CNN,4.335735821568313,0.2924497,44.418163
ARKK,Random Forrest,1.5577960865814362,0.28539953739405527,None
ARKK,Attention-based LSTM,2.968188275892122,0.044906391369091504,42.961002
ASR,BiDirectional LSTM,5.976671674950299,-0.01365057,283.11145
ASR,LSTM,13.346372883952395,-0.039509673,280.10345
ASR,RNN,6.305807772999769,0.027931046,282.81992
ASR,ANN,6.519083549365767,-0.025174651,279.57816
ASR,CNN,12.238042388947552,0.19894363,264.436
ASR,Random Forrest,8.78004867137767,0.18679068627015538,None
ASR,Attention-based LSTM,37.71234060985323,0.08540552119625845,286.36343
ASML,BiDirectional LSTM,16.332104935058958,0.12939097,731.19507
ASML,LSTM,13.924171220156408,0.1393859,716.5189
ASML,RNN,13.684713763274104,0.048995115,732.9588
ASML,ANN,15.775916895646018,0.21201512,729.4579
ASML,CNN,75.20233072627884,0.23542814,613.8964
ASML,Random Forrest,52.3996490086831,0.23859684744776896,None
ASML,Attention-based LSTM,83.01443297701292,0.10775331056224956,712.0965
AVB,BiDirectional LSTM,3.4691813374919263,0.21664676,189.66437
AVB,LSTM,3.733538436333652,0.23491313,187.95428
AVB,RNN,2.5329825020693355,0.052717973,190.7891
AVB,ANN,3.0854339437660006,0.2754084,189.89447
AVB,CNN,10.568961436634604,0.11893864,175.58275
AVB,Random Forrest,6.303137780669237,0.10568842561552967,None
AVB,Attention-based LSTM,5.678550216039845,0.03811329822522533,187.14133
AVGO,BiDirectional LSTM,20.563225631340373,0.27107427,860.85895
AVGO,LSTM,32.27797714336903,0.26044086,846.10443
AVGO,RNN,16.016765193053352,0.19074804,870.7467
AVGO,ANN,28.325779104070573,0.30587807,859.4554
AVGO,CNN,28.291009713814415,0.21411587,814.57513
AVGO,Random Forrest,124.00634196896492,0.1919920842070755,None
AVGO,Attention-based LSTM,65.1224905804798,0.18706876028845834,827.684
AXON,BiDirectional LSTM,5.178884904828698,-0.073137,195.63135
AXON,LSTM,10.75332919733699,-0.05604859,192.69087
AXON,RNN,7.218421009227674,0.02956958,194.87411
AXON,ANN,5.889124864976705,-0.06853367,195.7918
AXON,CNN,7.4347376871487025,0.23371628,191.61353
